id,tab,name,department,category,upc,price,imageSearchUrl,approvedImageUrl
smoking-01345,smoking,PHARAOHS JARRA WHITE GOLD HOOKAH SINGLE HOSE,HOOKAH,HOOKAH,jarwgol,49.99,https://www.google.com/search?tbm=isch&q=PHARAOHS+JARRA+WHITE+GOLD+HOOKAH+SINGLE+HOSE+jarwgol+product+image,
smoking-01346,smoking,PHARAOHS JARRA YELLOW GOLD HOOKAH SINGLE HOSE,HOOKAH,HOOKAH,jarygol,49.99,https://www.google.com/search?tbm=isch&q=PHARAOHS+JARRA+YELLOW+GOLD+HOOKAH+SINGLE+HOSE+jarygol+product+image,
smoking-01347,smoking,PHARAOHS SPIRIT SUNRISE HOOKAH SINGLE HOSE,HOOKAH,HOOKAH,spirits,49.99,https://www.google.com/search?tbm=isch&q=PHARAOHS+SPIRIT+SUNRISE+HOOKAH+SINGLE+HOSE+spirits+product+image,
smoking-01348,smoking,PLOOX BY LUXPODZ PORTABLE HOOKAH NEST X KIT SILVER,HOOKAH,HOOKAH,646117715064,80.0,https://www.google.com/search?tbm=isch&q=PLOOX+BY+LUXPODZ+PORTABLE+HOOKAH+NEST+X+KIT+SILVER+646117715064+product+image,
smoking-01349,smoking,AADHI SPLITTER CHANGE 1 HOSE TO 2 HOSE BLUE,HOOKAH,HOOKAH ACCESSORIES,850065030562,9.99,https://www.google.com/search?tbm=isch&q=AADHI+SPLITTER+CHANGE+1+HOSE+TO+2+HOSE+BLUE+850065030562+product+image,
smoking-01350,smoking,AADHI SPLITTER CHANGE 1 HOSE TO 2 HOSE GOLD,HOOKAH,HOOKAH ACCESSORIES,850065030593,9.99,https://www.google.com/search?tbm=isch&q=AADHI+SPLITTER+CHANGE+1+HOSE+TO+2+HOSE+GOLD+850065030593+product+image,
smoking-01351,smoking,AADHI SPLITTER CHANGE 1 HOSE TO 2 HOSE GREEN,HOOKAH,HOOKAH ACCESSORIES,850065030586,9.99,https://www.google.com/search?tbm=isch&q=AADHI+SPLITTER+CHANGE+1+HOSE+TO+2+HOSE+GREEN+850065030586+product+image,
smoking-01352,smoking,AADHI SPLITTER CHANGE 1 HOSE TO 2 HOSE RED,HOOKAH,HOOKAH ACCESSORIES,850065030555,9.99,https://www.google.com/search?tbm=isch&q=AADHI+SPLITTER+CHANGE+1+HOSE+TO+2+HOSE+RED+850065030555+product+image,
smoking-01353,smoking,AADHI SPLITTER CHANGE 1 HOSE TO 2 HOSE SILVER,HOOKAH,HOOKAH ACCESSORIES,850065030548,9.99,https://www.google.com/search?tbm=isch&q=AADHI+SPLITTER+CHANGE+1+HOSE+TO+2+HOSE+SILVER+850065030548+product+image,
smoking-01354,smoking,LION PARADISE DISPOSABLE HOSE,HOOKAH,HOOKAH ACCESSORIES,6832586001171,1.5,https://www.google.com/search?tbm=isch&q=LION+PARADISE+DISPOSABLE+HOSE+6832586001171+product+image,
smoking-01355,smoking,PHARAOHS FOIL PUNCH,HOOKAH,HOOKAH ACCESSORIES,793611266575,5.0,https://www.google.com/search?tbm=isch&q=PHARAOHS+FOIL+PUNCH+793611266575+product+image,
smoking-01356,smoking,PHARAOHS SILK HOOKAH HOSE,HOOKAH,HOOKAH ACCESSORIES,736211918444,7.0,https://www.google.com/search?tbm=isch&q=PHARAOHS+SILK+HOOKAH+HOSE+736211918444+product+image,
smoking-01357,smoking,STARLIGHT INSTANT CHARCOALS,HOOKAH,HOOKAH ACCESSORIES,"683964900021,683964900014",15.0,https://www.google.com/search?tbm=isch&q=STARLIGHT+INSTANT+CHARCOALS+683964900021%2C683964900014+product+image,
smoking-01358,smoking,VOLCAN ELECTRIC BURNER,HOOKAH,HOOKAH ACCESSORIES,"6944225525143,6944225525129",40.0,https://www.google.com/search?tbm=isch&q=VOLCAN+ELECTRIC+BURNER+6944225525143%2C6944225525129+product+image,
smoking-01359,smoking,AL FAKHER FLORIDA ORANGE CREAMSICLE FLAVOR,HOOKAH,SHISHA,6291109097488,14.99,https://www.google.com/search?tbm=isch&q=AL+FAKHER+FLORIDA+ORANGE+CREAMSICLE+FLAVOR+6291109097488+product+image,
smoking-01360,smoking,AL FAKHER GRAPE WITH BERRY FLAVOR,HOOKAH,SHISHA,6291108164723,3.99,https://www.google.com/search?tbm=isch&q=AL+FAKHER+GRAPE+WITH+BERRY+FLAVOR+6291108164723+product+image,
smoking-01361,smoking,AL FAKHER LEMON WITH MINT FLAVOR,HOOKAH,SHISHA,6291108160367,3.99,https://www.google.com/search?tbm=isch&q=AL+FAKHER+LEMON+WITH+MINT+FLAVOR+6291108160367+product+image,
smoking-01362,smoking,AL FAKHER MINT FLAVOR,HOOKAH,SHISHA,6291108160008,3.99,https://www.google.com/search?tbm=isch&q=AL+FAKHER+MINT+FLAVOR+6291108160008+product+image,
smoking-01363,smoking,AL FAKHER TWO APPLES WITH MINT FLAVOR,HOOKAH,SHISHA,6291108160152,3.99,https://www.google.com/search?tbm=isch&q=AL+FAKHER+TWO+APPLES+WITH+MINT+FLAVOR+6291108160152+product+image,
smoking-01364,smoking,FUMARI SOUR CHERRY,HOOKAH,SHISHA,022099552901,11.99,https://www.google.com/search?tbm=isch&q=FUMARI+SOUR+CHERRY+022099552901+product+image,
smoking-01365,smoking,FUMARI WHITE GUMMY BEAR,HOOKAH,SHISHA,022099551003,11.99,https://www.google.com/search?tbm=isch&q=FUMARI+WHITE+GUMMY+BEAR+022099551003+product+image,
smoking-01366,smoking,KORI HOOKAH HEAD BLUBERRY GUM 120K,HOOKAH,SHISHA,6974911437702,39.99,https://www.google.com/search?tbm=isch&q=KORI+HOOKAH+HEAD+BLUBERRY+GUM+120K+6974911437702+product+image,
smoking-01367,smoking,KORI HOOKAH HEAD CHERRY FIESTA 120K,HOOKAH,SHISHA,6974911437627,39.99,https://www.google.com/search?tbm=isch&q=KORI+HOOKAH+HEAD+CHERRY+FIESTA+120K+6974911437627+product+image,
smoking-01368,smoking,KORI HOOKAH HEAD DOUBLE APPLE 120K,HOOKAH,SHISHA,6974911437672,39.99,https://www.google.com/search?tbm=isch&q=KORI+HOOKAH+HEAD+DOUBLE+APPLE+120K+6974911437672+product+image,
smoking-01369,smoking,KORI HOOKAH HEAD LEMON MINT 120K,HOOKAH,SHISHA,6974911437658,39.99,https://www.google.com/search?tbm=isch&q=KORI+HOOKAH+HEAD+LEMON+MINT+120K+6974911437658+product+image,
smoking-01370,smoking,KORI HOOKAH HEAD LOVE 66 120K,HOOKAH,SHISHA,6974911437689,39.99,https://www.google.com/search?tbm=isch&q=KORI+HOOKAH+HEAD+LOVE+66+120K+6974911437689+product+image,
smoking-01371,smoking,KORI HOOKAH HEAD LUSH ICE 120K,HOOKAH,SHISHA,6974911437719,39.99,https://www.google.com/search?tbm=isch&q=KORI+HOOKAH+HEAD+LUSH+ICE+120K+6974911437719+product+image,
smoking-01372,smoking,NAKHLA DOUBLE APPLE,HOOKAH,SHISHA,4033100060755,25.0,https://www.google.com/search?tbm=isch&q=NAKHLA+DOUBLE+APPLE+4033100060755+product+image,
smoking-01373,smoking,STARBUZZ CLASSIC GRAPE MINT,HOOKAH,SHISHA,734191444748,15.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+CLASSIC+GRAPE+MINT+734191444748+product+image,
smoking-01374,smoking,STARBUZZ CLASSIC GUM MINT,HOOKAH,SHISHA,734191444861,15.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+CLASSIC+GUM+MINT+734191444861+product+image,
smoking-01375,smoking,STARBUZZ CLASSIC HOT 69,HOOKAH,SHISHA,732064770765,15.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+CLASSIC+HOT+69+732064770765+product+image,
smoking-01376,smoking,STARBUZZ CLASSIC LEMON MINT,HOOKAH,SHISHA,734191444779,15.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+CLASSIC+LEMON+MINT+734191444779+product+image,
smoking-01377,smoking,STARBUZZ CLASSIC ORANGE MINT,HOOKAH,SHISHA,734191444816,15.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+CLASSIC+ORANGE+MINT+734191444816+product+image,
smoking-01378,smoking,STARBUZZ EXOTIC LEMON MINT,HOOKAH,SHISHA,847244001925,11.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+EXOTIC+LEMON+MINT+847244001925+product+image,
smoking-01379,smoking,STARBUZZ EXOTIC MANGO,HOOKAH,SHISHA,847244001963,21.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+EXOTIC+MANGO+847244001963+product+image,
smoking-01380,smoking,STARBUZZ EXOTIC MIGHTY FREEZE,HOOKAH,SHISHA,847244016936,11.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+EXOTIC+MIGHTY+FREEZE+847244016936+product+image,
smoking-01381,smoking,STARBUZZ EXOTIC SEX ON THE BEACH,HOOKAH,SHISHA,847244002328,21.99,https://www.google.com/search?tbm=isch&q=STARBUZZ+EXOTIC+SEX+ON+THE+BEACH+847244002328+product+image,
smoking-01382,smoking,TANYA DOUBLE APPLE MINT TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563073,9.99,https://www.google.com/search?tbm=isch&q=TANYA+DOUBLE+APPLE+MINT+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563073+product+image,
smoking-01383,smoking,TANYA GRAPE MINT TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563431,9.99,https://www.google.com/search?tbm=isch&q=TANYA+GRAPE+MINT+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563431+product+image,
smoking-01384,smoking,TANYA LEMON MINT TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563080,9.99,https://www.google.com/search?tbm=isch&q=TANYA+LEMON+MINT+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563080+product+image,
smoking-01385,smoking,TANYA MELON TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563134,9.99,https://www.google.com/search?tbm=isch&q=TANYA+MELON+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563134+product+image,
smoking-01386,smoking,TANYA MINT TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563165,9.99,https://www.google.com/search?tbm=isch&q=TANYA+MINT+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563165+product+image,
smoking-01387,smoking,TANYA MINTY GUM TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563219,9.99,https://www.google.com/search?tbm=isch&q=TANYA+MINTY+GUM+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563219+product+image,
smoking-01388,smoking,TANYA PAN MASALA TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563318,9.99,https://www.google.com/search?tbm=isch&q=TANYA+PAN+MASALA+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563318+product+image,
smoking-01389,smoking,TANYA PASSION FRUIT MINT TOBACCO AND NICOTINE FREE SHISHA,HOOKAH,TOBACCO FREE SHISHA,8699905563837,9.99,https://www.google.com/search?tbm=isch&q=TANYA+PASSION+FRUIT+MINT+TOBACCO+AND+NICOTINE+FREE+SHISHA+8699905563837+product+image,
smoking-01390,smoking,RONSON WICKS,LIGHTERS,LIGHTERS ACCESSORIES,037900990247,1.99,https://www.google.com/search?tbm=isch&q=RONSON+WICKS+037900990247+product+image,
smoking-01391,smoking,100 DOLLAR LIGHTER,LIGHTERS,NOVELTY LIGHTERS,707670092891,7.99,https://www.google.com/search?tbm=isch&q=100+DOLLAR+LIGHTER+707670092891+product+image,
