product_id,tab,product_name,upc,department,category,current_image_path,ak_wholesale_product_name,ak_image_url,notes
glass-00150,glass,CHEECH QUARTZ YELLOW TERP BANGER,061321010017,GLASS,Uncategorized,,,,
glass-00151,glass,HIGH POINT CERAMIC MUG,"676525982987,676525994119,676525752955,676525818996,676525786448,676525880351",GLASS,Uncategorized,,,,
glass-00152,glass,$10 CHILLUMS,chillum10,GLASS,CHILLUMS,,,,
glass-00153,glass,$15 CHILLUMS,6441900000,GLASS,CHILLUMS,,,,
glass-00154,glass,$3 CHILLUMS,chillum3,GLASS,CHILLUMS,,,,
glass-00155,glass,$5 CHILLUMS,chillums,GLASS,CHILLUMS,,,,
glass-00156,glass,$7 CHILLUMS,chillum7,GLASS,CHILLUMS,,,,
glass-00157,glass,CHILLUMS $10,6509700000,GLASS,CHILLUMS,,,,
glass-00158,glass,CHILLUMS $10,chillum,GLASS,CHILLUMS,,,,
glass-00159,glass,GRAV LAB 16MM OCTO TASTER W SILICON SKIN BLUE,810014752860,GLASS,CHILLUMS,,,,
glass-00160,glass,GRAV LAB 16MM OCTO TASTER W SILICON SKIN GREEN,810014758589,GLASS,CHILLUMS,,,,
glass-00161,glass,LOCK N LOAD 9MM,6147600000,GLASS,CHILLUMS,,,,
glass-00162,glass,MJ ARSENAL RIDGE CHILLUM,739062120129,GLASS,CHILLUMS,,,,
glass-00163,glass,CHARACTER GAS MASK,mask20-1,GLASS,GAS MASK,,,,
glass-00164,glass,GAS MASK,6245900000,GLASS,GAS MASK,,,,
glass-00165,glass,GAS MASK,6972470510255,GLASS,GAS MASK,,,,
glass-00166,glass,$10 BOWL / BANGERS,6138900000,GLASS,GLASS ACCESSORIES,,,,
glass-00167,glass,$10 CARB CAPS,6139500000,GLASS,GLASS ACCESSORIES,,,,
glass-00168,glass,$10 DAB TOOL,6140000000,GLASS,GLASS ACCESSORIES,,,,
glass-00169,glass,$15 BOWL / BANGERS,6139000000,GLASS,GLASS ACCESSORIES,,,,
glass-00170,glass,$15 CARB CAPS,6139600000,GLASS,GLASS ACCESSORIES,,,,
